text,category
"laptop battery fails to charge the battery of my lenovo laptop is not charging even when plugged in. i have tried using a different power adapter and outlet, but the issue remains. please assist. laptop laptop hardware,laptop,power,charging",hardware
"cannot print from office printer i am unable to send print jobs to the main office printer. the device is online but nothing prints, and there are no error messages. printer printer hardware,printer,printing,error",hardware
"server room temperature alert received an alert that the server room temperature exceeds safe operating thresholds. please investigate and resolve as soon as possible. server server hardware,server,temperature,critical",hardware
"forgotten vpn password i cannot remember the password to access the company vpn. i need urgent access to hr files for onboarding new employees. vpn laptop access,vpn,password,hr",access
"cannot access legal application the legal case management app is not letting me log in. it says my account is locked. please unlock my account as soon as possible. application desktop access,application,unlock,legal",access
"wifi connectivity issues in lounge staff are unable to connect to wifi in the executive lounge. multiple devices affected. please resolve urgently. wifi tablet network,wifi,critical,lounge",network
"erp application slow performance the erp software is extremely slow today, causing delays in processing purchase orders. need assistance to improve performance. erp desktop software,erp,performance,procurement",software
"email delivery delayed for clients client emails are not being delivered in a timely manner. some messages are delayed by more than an hour. need urgent fix. email desktop software,email,delivery,marketing",software
"lan outage in main office the main office lan is down. no one can access internal resources. please restore connectivity as quickly as possible. lan server network,lan,outage,critical",network
"test ticket for system load this is a load testing ticket to check system performance under high ticket volume. no action required. test desktop test,edge-case,load,performance",other
"tablet not charging in boardroom the tablet in the main boardroom is not holding a charge. we need it for upcoming executive presentations. tablet tablet hardware,tablet,charging,executive",hardware
"erp system login fails intermittently users report intermittent login failures to the erp system. this is affecting order processing on the production floor. erp desktop software,erp,login,production",software
"lan switch replacement required a lan switch in the support area has failed. no devices can connect to the network in that area. lan server network,lan,switch,critical",network
"password reset required for legal app cannot reset password for the legal documentation application. the self-service reset is not working. password desktop access,password,legal,reset",access
"scanner software not launching the scanner software crashes on startup, preventing us from digitizing shipping documents. scanner desktop software,scanner,logistics,crash",software
"vpn access request for new hire new operations team member needs vpn access to core systems. please set up and send credentials. vpn laptop access,vpn,operations,credentials",access
"iot sensor data unreliable iot sensors in the data center are reporting inconsistent temperature and humidity readings. iot sensor iot sensor hardware,iot,sensor,data",hardware
"desktop not powering on the desktop pc in the executive suite won't turn on. power supply confirmed working. desktop desktop hardware,desktop,power,executive",hardware
"printer paper jam repeatedly the legal department printer is constantly jamming even after clearing old paper. please inspect and repair. printer printer hardware,printer,jam,legal",hardware
"monitor flickering in workspace monitor in finance workspace flickers and sometimes turns off. need replacement or repair. monitor monitor hardware,monitor,flicker,finance",hardware
"mobile device wifi not connecting sales demo mobile device cannot connect to wifi in the office. other devices seem to be fine. wifi mobile network,wifi,mobile,sales",network
"unable to access application remotely operations staff working remotely cannot access core application. possible access control issue. application laptop access,application,remote,operations",access
"laptop blue screen error my laptop has encountered a blue screen error twice today. please diagnose and fix. laptop laptop hardware,laptop,error,blue-screen",hardware
"request for new user account please create a new user account for our intern starting next week. access to hr files required. application desktop access,application,account,hr",access
"mobile device security alert security software on mobile device triggered an alert for suspected malware. please investigate. security mobile software,security,alert,production",software
"erp user access request need new user created in erp system for procurement team member. erp desktop software,erp,access,procurement",software
"desktop pc running slow my desktop computer is running very slowly and applications are taking a long time to open. desktop desktop hardware,desktop,performance,finance",hardware
"unable to send email campaigns marketing email campaigns are not being sent. the queue is stuck and messages are not leaving the outbox. email desktop software,email,queue,marketing",software
"legal app access request new paralegal needs access to the legal documentation application. please grant permissions. application desktop access,application,legal,permissions",access
"laptop not connecting to wifi my laptop cannot connect to any wifi networks in the building. other devices are working. wifi laptop network,wifi,laptop,hr",network
"scanner driver update required the shipping scanner requires a driver update to work with new software. scanner desktop software,scanner,logistics,update",software
"server backup failed overnight automated server backup failed last night. critical data may not be protected. server server hardware,server,backup,critical",hardware
"printer not recognized by desktop my desktop cannot find the office printer. it does not appear in the device list. printer printer hardware,printer,desktop,recognition",hardware
"erp report export fails users are unable to export reports from the erp system. the export button does nothing. erp desktop software,erp,export,procurement",software
"edge test: empty location this ticket leaves the location field empty to test location validation. test desktop test,edge-case,location,empty",other
"erp app timeout for batch jobs batch jobs in the erp app are timing out before completion. this delays production processes. erp desktop software,erp,timeout,production",software
"vpn connection not stable vpn connection drops every few minutes for hr users working remotely. vpn laptop access,vpn,connection,hr",access
"laptop overheating warning my laptop displays overheating warnings after short use. please check for hardware issues. laptop laptop hardware,laptop,overheating,finance",hardware
"laptop display color distortion my laptop display shows unusual colors and flickers during presentations. laptop laptop hardware,laptop,display,sales",hardware
"tablet unable to connect to lan the support area tablet cannot connect to the lan network. other devices are unaffected. lan tablet network,lan,tablet,support",network
"printer test page unreadable printer generates test pages that are unreadable and faded. please check toner and maintenance. printer printer hardware,printer,maintenance,finance",hardware
"password reset tool not working hr team is unable to reset employee passwords using the password reset tool. password desktop access,password,reset,hr",access
"email account creation request new marketing team member needs an email account created. please set up with appropriate permissions. email desktop software,email,account,marketing",software
"laptop not powering on suddenly my laptop refuses to turn on after i returned from lunch. i tried pressing the power button several times but nothing happens. laptop laptop hardware,laptop,power",hardware
"monitor screen is flickering a lot the monitor at my workstation is flickering constantly, making it hard to work. please send someone to check the cables or the screen. monitor monitor hardware,monitor,display",hardware
"erp login failing for all users users in the production department are unable to access the erp system since this morning. the error message says credentials invalid. erp desktop software,erp,production",software
"wifi outage on 3rd floor no one on the 3rd floor can connect to wifi. lights are blinking red on the access points. wifi tablet network,wifi,outage,critical",network
"vpn access request for remote work i need vpn access to connect to company resources while working from home next week. vpn laptop access,vpn,request",access
"password reset not working attempted to reset password using the portal but never received the reset email. tried several times. password laptop access,password,reset",access
"server running out of disk space the main file server in dc-1 is running out of disk space. only 5% free space left, needs cleanup. server server hardware,server,critical",hardware
"tablet not connecting to wifi my tablet cannot connect to the office wifi network, even after restarting both the tablet and the router. wifi tablet network,wifi,tablet",network
"new application access required requesting access to the new compliance application for three members of the legal team. application desktop access,application,request",access
"scanner software not launching the scanner software crashes immediately after double-clicking the icon. this is affecting our invoice scanning process. scanner desktop software,scanner,procurement",software
"unable to receive emails externally external clients report that their emails are bouncing back. we are not receiving any external emails. email desktop software,email,marketing",software
"desktop making loud beeping sounds my desktop started making loud, repetitive beeping noises. this began after i tried to restart it. desktop desktop hardware,desktop,beeping",hardware
"printer not responding to print jobs print jobs are queuing but nothing is printing. tried restarting the printer but the problem persists. printer printer hardware,printer,queue",hardware
"remote desktop not connecting cannot connect to my remote desktop from home. getting timeout errors. vpn laptop access,vpn,remote",access
"lan outage in server room servers in dc-1-rack-2 lost lan connectivity. unable to ping gateway or internet. lan server network,lan,critical",network
"mobile device security alert received a security alert on my mobile device about a suspicious login attempt. security mobile software,security,logistics",software
"server room temperature alert iot sensors in the server room report high temperature. may impact equipment performance. iot sensor iot sensor hardware,iot sensor,temperature",hardware
"testing edge case for empty location this is a test for verifying empty location fields in ticket data. test desktop test,location,empty",other
"erp reports not generating unable to generate reports in the erp system. the process gets stuck at 50%. erp desktop software,erp,marketing",software
"remote user unable to access files remote user cannot access shared engineering files. gets permission denied error. vpn laptop access,vpn,engineering",access
"scanner not detected on network the scanner is not showing up on any computers in the production area. scanner desktop software,scanner,production",software
"laptop battery draining quickly my laptop battery lasts only one hour after a full charge. used to last the whole day before. laptop laptop hardware,laptop,battery",hardware
"tablet screen not responding my tablet’s touch screen is not responding to any input. tablet tablet hardware,tablet,touch",hardware
"printer showing paper jam frequently printer in the finance office shows paper jam error even though there is no paper stuck. printer printer hardware,printer,jam",hardware
"server not reachable from network cannot ping or access the main server. might be a network issue in the data center. server server hardware,server,network",hardware
"application access delayed applied for access to new hr system two days ago but still not received login details. application desktop access,application,hr",access
"unable to login after password reset password was reset successfully but new credentials do not let me in. password laptop access,password,login",access
"mobile device unable to access erp can’t open the erp app on my mobile device. it keeps crashing on launch. erp mobile software,erp,mobile",software
"monitor keeps switching off monitor turns off by itself every few minutes. checked power cable. monitor monitor hardware,monitor,power",hardware
"desktop won’t boot after update my desktop computer refuses to boot after the latest windows update. desktop desktop hardware,desktop,update",hardware
"security software not updating the endpoint security software is stuck on an outdated version. manual update fails. security desktop software,security,update",software
"email not syncing on mobile device company email account is not syncing on my mobile device. last update was yesterday. email mobile software,email,production",software
